site	time	observer	date	type	sample	plant	replicate	bag	pump	end	equil	pumping	flowers	buds	pump_id	VWC	treatment	notes
Lagg	D	JB	2022-07-21	floral	280	280		9:44	10:16	10:29	0:32	0:13	1	0	DRC9	6.1	ambient	
Lagg	D	JB	2022-07-21	floral	599	599		10:12	10:42	10:57	0:30	0:15	1	1	CWu2	7	ambient	
Lagg	D	JB	2022-07-21	floral	615	615		10:34	11:04	11:19	0:30	0:15	1	2	DRC9	6.5	nitrogen	trap touched glove
Lagg	D	JB	2022-07-21	floral	551	551		10:38	11:08	11:25	0:30	0:17	1	1	CWu2	6.4	ambient	
Lagg	D	JB	2022-07-21	floral	554	554		11:11	11:42	11:56	0:31	0:14	1	0	DRC10	5.4	ambient	
Lagg	D	JB	2022-07-21	floral	593	593		11:15	11:45	12:00	0:30	0:15	1	1	DRC9	7.9	ambient	trap fell out of bag
Lagg	D	JB	2022-07-21	floral	539	539		10:51	11:21	11:36	0:30	0:15	1	1	DRC10	7.4	nitrogen	resampled
Lagg	D	JB	2022-07-21	floral	585	585		11:45	12:16	12:30	0:31	0:14	1	1	DRC9	7.2	nitrogen	resampled
Lagg	N	JB	2022-07-21	floral	337	337		20:00	20:30	20:45	0:30	0:15	1	3	DRC8	2.9	ambient	
Lagg	N	JB	2022-07-21	floral	334	334		20:02	20:32	20:47	0:30	0:15	1	1	DRC7	4.1	ambient	
Lagg	N	JB	2022-07-21	floral	574	574		20:03	20:33	20:49	0:30	0:16	1	0	DRC5	5	water control	
Lagg	N	JB	2022-07-21	floral	568	568		20:21	20:52	21:09	0:31	0:17	1	0	DRC8	4.5	nitrogen	
Lagg	N	JB	2022-07-21	floral	332	332		20:24	20:56	21:11	0:32	0:15	1	2	DRC7	5.4	ambient	popped out
Lagg	N	JB	2022-07-21	floral	551	551		20:36	21:06	21:21	0:30	0:15	1	0	DRC5	7.1	ambient	
Lagg	N	JB	2022-07-21	floral	585	585		21:04	21:35	21:55	0:31	0:20	1	0	DRC8	4.1	nitrogen	
Lagg	N	JB	2022-07-21	floral	584	584		21:14	21:44	21:59	0:30	0:15	1	0	DRC7	5.4	water control	
Lagg	N	JB	2022-07-21	floral	593	593		21:16	21:46	22:02	0:30	0:16	1	0	DRC5	5.1	ambient	trap touched glove
Lagg	N	JB	2022-07-21	floral	548	548		21:39	22:09	22:24	0:30	0:15	1	3	DRC5	6	nitrogen	
Lagg	N	JB	2022-07-21	floral	317	317		21:50	22:20	22:35	0:30	0:15	1	2	DRC7	3.4	ambient	
Lagg	N	JB	2022-07-21	ambient	airJB			22:13	22:43	22:58	0:30	0:15			DRC8			
Lagg	N	JK	2022-07-21	floral	562	562		20:00	20:30	20:45	0:30	0:15	1	1	DRC4	6.4	water control	
