filename	site	time	date	type	sample	plant	bag	pump	end	equil	pumping	flowers	buds	pump_id	notes	index
L36DJul21_09012017	Lagg	D	2017-07-21	floral	36	6	10:00	10:30	10:45	0:30	0:15	1	0	DRC2		96
L40DJul21_09012017	Lagg	D	2017-07-21	floral	40	0	10:14	10:44	10:59	0:30	0:15	1	0	DRC3		102
L37DJul21_09012017	Lagg	D	2017-07-21	floral	37	7	10:20	10:50	11:05	0:30	0:15	1	0	DRC2		97
L39DJul21_09012017	Lagg	D	2017-07-21	floral	39	9	10:33	11:03	11:18	0:30	0:15	1	0	DRC3	JP: changed N to D	100
L6DJul21_09012017	Lagg	D	2017-07-21	floral	6		10:54	11:24	11:39	0:30	0:15	1	0	DRC3		125
I1DJul21_08302017	Ihyb	D	2017-07-21	floral	1		12:02	12:32	12:47	0:30	0:15	1	0	DRC2		21
I2DJul21_08302017	Ihyb	D	2017-07-21	floral	2		12:23	12:53	13:08	0:30	0:15	1	0	DRC3		39
I31DJul24_08282017	Ihyb	D	2017-07-24	floral	31	1	8:55	9:25	9:40	0:30	0:15	1	0	DRC3		44
I3DJul24_08262017	Ihyb	D	2017-07-24	floral	3		9:05	9:35	9:50	0:30	0:15	1	1	DRC1		47
I30DJul24_08282017	Ihyb	D	2017-07-24	floral	30	0	9:15	9:45	10:00	0:30	0:15	1	0	DRC3		42
I4DJul24_08272017	Ihyb	D	2017-07-24	floral	4		9:15	9:45	10:00	0:30	0:15	1	0	DRC4		49
I29D07242017	Ihyb	D	2017-07-24	floral	29	29	9:20	9:50	10:05	0:30	0:15	1	0	DRC2	chromatogram missing?	186
I5DJul24_08272017	Ihyb	D	2017-07-24	floral	5		9:26	9:56	10:11	0:30	0:15	1	0	DRC1	changed 50>5 to match file	51
I26DJul24_08282017	Ihyb	D	2017-07-24	floral	26	6	9:35	10:05	10:20	0:30	0:15	1	0	DRC2		32
I27DJul24_08302017	Ihyb	D	2017-07-24	floral	27	7	9:39	10:09	10:25	0:30	0:16	1	0	DRC3		34
I6DJul24_08272017	Ihyb	D	2017-07-24	floral	6		9:48	10:18	10:33	0:30	0:15	1	0	DRC1		52
I28DJul24_08282017	Ihyb	D	2017-07-24	floral	28	8	9:55	10:25	10:40	0:30	0:15	1	0	DRC3		36
I25DJul24_08282017	Ihyb	D	2017-07-24	floral	25	5	9:59	10:30	10:44	0:31	0:14	1	0	DRC2		30
I24DJul24_08302017	Ihyb	D	2017-07-24	floral	24	4	10:17	10:47	11:02	0:30	0:15	1	0	DRC3		28
I23DJul24_08302017	Ihyb	D	2017-07-24	floral	23	3	10:20	10:50	11:06	0:30	0:16	1	0	DRC2		26
I9DJul24_08272017	Ihyb	D	2017-07-24	floral	9		10:22	10:53	11:08	0:31	0:15	1	0	DRC1		56
I10DJul24_08262017	Ihyb	D	2017-07-24	floral	10	0	10:36	11:07	11:22	0:31	0:15	1	0	DRC4		1
I22DJul24_08302017	Ihyb	D	2017-07-24	floral	22	2	10:39	11:14	11:25	0:35	0:11	1	0	DRC2		25
I7D07242017	Ihyb	D	2017-07-24	floral	7	7	10:46	11:16	11:31	0:30	0:15	1	0	DRC1	chromatogram missing?	185
I20DJul24_08302017	Ihyb	D	2017-07-24	floral	20	0	10:55	11:27	11:42	0:32	0:15	1	0	DRC3		22
I19DJul24_08282017	Ihyb	D	2017-07-24	floral	19	9	10:57	11:30	11:45	0:33	0:15	1	0	DRC2		19
I12DJul24_08262017	Ihyb	D	2017-07-24	floral	12	2	11:19	11:48	12:03	0:29	0:15	1	0	DRC1		5
I13DJul24_08282017	Ihyb	D	2017-07-24	floral	13	3	11:35	12:06	12:21	0:31	0:15	1	0	DRC4		7
I21DJul24_08282017	Ihyb	D	2017-07-24	floral	21	1	11:39	12:09	12:24	0:30	0:15	1	0	DRC3		24
I11DJul24_08262017	Ihyb	D	2017-07-24	floral	11	1	11:45	12:15	12:30	0:30	0:15	1	0	DRC`		3
I18DJul2408282017	Ihyb	D	2017-07-24	floral	18	8	11:50	12:17	12:32	0:27	0:15	1	0	DRC2		18
I14DJul24_08282017	Ihyb	D	2017-07-24	floral	14	4	11:55	12:25	12:40	0:30	0:15	1	0	DRC4		9
I17DJul244_08262017	Ihyb	D	2017-07-24	floral	17	7	11:55	12:26	12:40	0:31	0:14	1	0	DRC3		16
I16DJul24_08302017	Ihyb	D	2017-07-24	floral	16	6	12:05	12:35	12:50	0:30	0:15	1	0	DRC2		13
I2DJul24_08272017	Ihyb	D	2017-07-24	floral	2							1			JP: no times entered	40
I33DJul27_08312017	Ihyb	D	2017-07-27	floral	33	3	11:02	11:32	11:47	0:30	0:15	1	0	DRC4		45
I16DJul27_08302017	Ihyb	D	2017-07-27	floral	16	6	11:22	11:56	12:11	0:34	0:15	1	0	DRC4		14
I8DJul27_08312017	Ihyb	D	2017-07-27	floral	8		11:22	11:52	12:07	0:30	0:15	1	1	DRC1		54
I15DJul27_08302017	Ihyb	D	2017-07-27	floral	15	5	11:53	12:23	12:38	0:30	0:15	1	0	DRC4		11
VF1N07312017	VF	N	2017-07-31	floral	1	1	19:53	20:23	20:38	0:30	0:15	1	0	DRC1	chromatogram missing?	184
VF31N07312017	VF	N	2017-07-31	floral	31	31	20:06	20:36	20:51	0:30	0:15	1	0	DRC3	chromatogram missing?	182
VF30N07312017	VF	N	2017-07-31	floral	30	30	20:16	20:46	21:01	0:30	0:15	1	0	DRC2	chromatogram missing?	183
I33NAug1_08312017	Ihyb	N	2017-08-01	floral	33	3	20:02	20:32	20:47	0:30	0:15	1	0	DRC5		46
I6NAug1_08272017	Ihyb	N	2017-08-01	floral	6		20:10	20:40	20:55	0:30	0:15	1	0	DRC4		53
I3NAug1_08262017	Ihyb	N	2017-08-01	floral	3		20:21	20:59	21:14	0:38	0:15	1	0	DRC5		48
I11NAug1_08262017	Ihyb	N	2017-08-01	floral	11	1	20:29	20:59	21:14	0:30	0:15	1	0	DRC1		4
I29NAug1_08302017	Ihyb	N	2017-08-01	floral	29	9	20:29	20:59	21:14	0:30	0:15	1	0	DRC6		38
I2NAug1_08272017	Ihyb	N	2017-08-01	floral	2		20:37	21:07	21:26	0:30	0:19	1	0	DRC4		41
I12NAug1_08262017	Ihyb	N	2017-08-01	floral	12	2	20:41	21:11	21:26	0:30	0:15	1	0	DRC2		6
I28NAug1_08312017	Ihyb	N	2017-08-01	floral	28	8	20:44	21:14	21:29	0:30	0:15	1	0	DRC3		37
